dia_semana;dia;mes;periodo;hora;genero;comuna;modalidad;label_modalidad;arma_medio;label_arma;movil_agresor;label_agresor;movil_victima;label_victima;edad;conducta;lat;lon
jueves;5;6;2017;9;femenino;noroccidental;raponazo;25;contundente;4;a pie;1;a pie;1;70;hurto a personas;2.95476;-75.297625
jueves;5;6;2017;15;femenino;noroccidental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;70;hurto a personas;2.95476;-75.297625
jueves;5;6;2017;3;masculino;nororiental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.96045;-75.284146
jueves;5;6;2017;8;sin dato;central;ventosa;40;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.92796;-75.286621
viernes;6;6;2017;12;femenino;nororiental;raponazo;25;sin empleo de arma;15;motocicleta;7;a pie;1;30;hurto a personas;2.96045;-75.284146
viernes;6;6;2017;23;masculino;las palmas;atraco;4;arma blanca;1;motocicleta;7;motocicleta;7;39;hurto a personas;2.947179;-75.257497
viernes;6;6;2017;9;masculino;entre rios;factor de oportunidad;13;contundente;4;a pie;1;vehiculo;15;44;hurto a personas;2.935378;-75.294883
viernes;6;6;2017;4;masculino;las palmas;atraco;4;arma blanca;1;a pie;1;a pie;1;0;hurto a residencias;2.947179;-75.257497
viernes;6;6;2017;6;femenino;las palmas;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.947179;-75.257497
viernes;6;6;2017;21;sin dato;nororiental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.96045;-75.284146
viernes;6;6;2017;22;sin dato;entre rios;vandalismo;39;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.935378;-75.294883
viernes;6;6;2017;21;femenino;oriental;atraco;4;arma de fuego;2;motocicleta;7;motocicleta;7;55;hurto de motos;2.940498;-75.26865
sabado;7;6;2017;21;masculino;oriental;raponazo;25;arma blanca;1;a pie;1;a pie;1;20;hurto a personas;2.940498;-75.26865
sabado;7;6;2017;0;masculino;nororiental;atraco;4;arma de fuego;2;motocicleta;7;a pie;1;23;hurto a personas;2.96045;-75.284146
sabado;7;6;2017;23;femenino;nororiental;rompimiento vidrio;29;contundente;4;a pie;1;vehiculo;15;26;hurto a personas;2.96045;-75.284146
sabado;7;6;2017;18;masculino;la floresta;factor de oportunidad;13;sin empleo de arma;15;a pie;1;motocicleta;7;37;hurto a personas;2.927763;-75.264617
sabado;7;6;2017;11;femenino;sur;atraco;4;contundente;4;a pie;1;a pie;1;39;hurto a personas;2.908991;-75.274467
sabado;7;6;2017;22;masculino;entre rios;raponazo;25;sin empleo de arma;15;motocicleta;7;vehiculo;15;39;hurto a personas;2.935378;-75.294883
sabado;7;6;2017;6;masculino;la floresta;factor de oportunidad;13;sin empleo de arma;15;a pie;1;vehiculo;15;57;hurto a personas;2.927763;-75.264617
sabado;7;6;2017;14;femenino;sur;llave maestra;18;llave maestra;9;a pie;1;a pie;1;0;hurto a residencias;2.908991;-75.274467
sabado;7;6;2017;10;sin dato;central;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.92796;-75.286621
sabado;7;6;2017;11;femenino;entre rios;halado;15;sin empleo de arma;15;a pie;1;a pie;1;29;hurto de motos;2.935378;-75.294883
sabado;7;6;2017;6;femenino;sur;halado;15;sin empleo de arma;15;a pie;1;a pie;1;40;hurto de motos;2.908991;-75.274467
domingo;1;6;2017;22;masculino;central;atraco;4;arma blanca;1;a pie;1;a pie;1;25;hurto a personas;2.92796;-75.286621
domingo;1;6;2017;2;femenino;norte;atraco;4;arma blanca;1;a pie;1;a pie;1;0;hurto a residencias;2.920993;-75.268685
domingo;1;6;2017;3;masculino;noroccidental;violacion cerraduras;42;contundente;4;a pie;1;a pie;1;0;hurto a residencias;2.95476;-75.297625
domingo;1;6;2017;17;femenino;sur;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.908991;-75.274467
domingo;1;6;2017;23;masculino;sur;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.908991;-75.274467
domingo;1;6;2017;11;sin dato;las palmas;atraco;4;arma blanca;1;a pie;1;a pie;1;0;hurto a comercio;2.947179;-75.257497
domingo;1;6;2017;20;femenino;oriental;atraco;4;arma blanca;1;a pie;1;motocicleta;7;21;hurto de motos;2.940498;-75.26865
